"registry_id","year","state","prev_yr_se_viols","prev_yr_se_hpviols","region_code","pct_white","pct_black","pct_native","pct_asian","pct_hi_pi","pct_other","earnings_median","total_population"
110070091322,2021,"KY",0,0,"90745",36.5648676372667,9.63881440423273,1.49729155793906,39.2499145176094,3.24113232674069,19.7527309374269,40196,55567
110070265863,2021,"CA",0,0,"34945",79.7340930674264,17.7777777777778,2.75403608736942,0.987654320987654,0,1.25356125356125,35572,5265
110070202689,2021,"FL",0,0,"64503",93.0499105836449,8.03121443667696,1.53633555519428,1.69891074622013,0,1.99967484961795,NA,12302
110000710375,2021,"MO",0,0,"95943",97.1272229822161,1.64158686730506,1.77838577291382,0,0,2.87277701778386,49191,731
110070501002,2021,"MO",0,0,"92802",68.9932519937291,3.17860632085975,0.863381273714584,15.1023561220548,0.565741939881399,20.78022402472,32428,44013
110045693692,2021,"CA",0,0,"32226",77.3572255744499,19.6013896507588,1.15804229901871,5.27823489973792,0,1.5907844212836,48849,16407
110070218787,2021,"MO",0,0,"94592",42.6782273603083,12.0423892100193,0,40.7514450867052,2.69749518304432,5.78034682080925,58625,1038
110070391227,2021,"California",0,0,"32539",83.8949830352143,12.9722963402181,2.90871957044504,3.40613367592318,0.606120499390585,2.1082452152716,35131,30357
110070159666,2021,"FL",0,0,"64057",84.3763676148797,8.00875273522976,2.15171407731583,2.15900802334063,2.4653537563822,3.91684901531729,45406,13710
110067630175,2021,"fl",0,0,"63126",95.7589136397083,1.91986086025821,0.274265837179744,1.73924677235936,0,1.21747274065155,51651,14949
110070064247,2021,"CA",0,0,"33629",94.0722125725267,3.28171772792786,0.358475922983111,4.17236409327765,0.110868842159725,3.84714882294246,74585,27059
110006484054,2021,"MO",0,0,"92870",73.1623867353461,3.23720720381998,1.25390081588149,20.513591758469,1.46821070045494,9.37323758318607,52473,53194
110070147626,2021,"KY",0,0,"91740",72.3782520403081,4.81244492126135,2.89283114295567,14.2534196712518,1.42151040269742,19.7708724472202,49205,26099
110046326944,2021,"FL",0,0,"65026",98.6639824304539,0.0183016105417277,0.860175695461201,1.22620790629575,0.128111273792094,0.375183016105417,NA,10928
110070089273,2021,"MO",0,0,"92804",60.8349494743289,4.34146507434249,1.22373062048473,27.2305581073571,1.62634820183049,11.9129438717068,36290,88173
110041093991,2021,"KY",0,0,"92277",79.3410725964683,15.2101046435579,3.39274035317201,9.19310006540222,3.78515369522564,6.79774362328319,36053,24464
110069413986,2021,"CA",0,0,"40219",69.5305557007685,26.9825918762089,0.575043128234618,2.97454127241361,0.303204558523707,5.57007684667259,34363,38258
110065570670,2021,"MO",0,0,"95823",33.9155389525247,25.2665693575122,2.33294574602311,25.1342124143391,5.46250711263947,19.9722916305881,31239,80842
110070094358,2021,"KY",0,0,"92656",74.4763188294186,3.84674624566808,1.32268001540239,19.8016942626107,0.539083557951483,7.95340777820562,69257,51940
110059786361,2021,"FL",0,0,"63125",91.8528213212767,4.92876052232369,0.883429013355543,3.23031619024956,0.0594901692495315,1.05595050417918,35607,33619
110070230994,2021,"FL",0,0,"42122",97.8172138420586,2.71517302573203,0,1.25998225377107,0,3.74445430346051,43800,5635
110065925994,2021,"MO",0,0,"96002",85.7849924874053,3.72683616651445,6.28406446100816,8.35223757475768,0.892673010635477,5.19400170874702,36248,33943
110070095559,2021,"KY",0,0,"91744",41.5451580411531,2.38380737685261,1.6847330807233,14.2872559835004,0.259005228068492,45.0884934529234,31794,83396
110070090142,2021,"KY",0,0,"92260",84.9911729806384,3.31664399617978,2.04902613376552,6.05157294590918,0.393598240384337,11.3738315052239,37913,34553
110002425750,2021,"Ky",0,0,"91770",14.44196463903,0.910141348908622,0.95129556642449,65.9876220776548,0.414707884198363,19.9867040220333,30490,63177
110070092250,2021,"MO",0,0,"93434",73.4387248497518,0.431147112620852,2.40397177946172,4.22001567807682,1.03214005748628,30.4415991638359,30158,7654
110070087635,2021,"Mo",0,0,"94591",40.3600021301901,19.2214155113344,2.4479434789555,38.2599897040811,1.37042231019118,11.2083503452683,49930,56333
110065451987,2021,"KY ",0,0,"92227",84.8702374378796,2.24921774341984,3.30940548499908,1.03441928952696,0.195103994110068,17.9385238358181,31094,27165
110000485190,2021,"MO ",0,0,"95341",49.6225805504156,4.75812846946868,1.2658971421858,12.1537874115194,0.11454753722795,36.9166152671307,30022,34047
110070393569,2021,"FL",0,0,"63389",96.9900142653352,0.599144079885877,1.19828815977175,1.85449358059914,0,4.00855920114123,40408,7010
